CompanyNo,Gender,Age,Educationcoded,children,sectorcode,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
1,2,76,1,,1,7.8,834615,10.7,55.2,44.8,0.363725122,4.391217565,3.584493042,0.006572904,0.006572904
2,2,62,2,,2,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,0.000280977,0.000280977
3,2,58,1,,3,9.6,6138382,8,52.1,47.9,0.342364141,4.349400267,3.430854606,-0.001717586,-0.001717586
4,2,62,3,4,4,10.7,5779463,13.1,54.1,45.9,0.344998987,4.355875831,3.409393491,-0.004694151,-0.004557218
5,1,58,4,2,5,10.7,5779463,13.1,54.1,45.9,0.344998987,4.355875831,3.409393491,-0.007050812,-0.007050812
6,2,62,4,2,6,10.7,5779463,13.1,54.1,45.9,0.344998987,4.355875831,3.409393491,-0.004802656,0.003711134
7,2,63,1,4,7,10.7,5779463,13.1,54.1,45.9,0.344998987,4.355875831,3.409393491,0.008148046,0.008148046
8,2,52,4,,8,9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387,-0.004694944,-0.004484227
9,2,60,4,,9,7.4,2793250,10.4,53,47,0.361954405,4.341133005,3.36621455,0.006557701,0.006556457
10,1,64,4,,10,6.6,134473,16.9,51.7,48.3,0.434410907,4.425925926,3.574074074,-0.001232272,-0.001232272
11,2,52,1,,11,7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049,0.002655068,0.002655068
12,2,61,5,4,12,11.4,6070944,15.4,56.7,43.3,0.369366075,4.301639344,3.340104849,0.009638849,0.009638849
13,2,52,4,3,13,8.6,693952,12.6,57.3,42.7,0.341569097,4.395778364,3.335106383,0.01091618,0.01091618
14,2,57,2,,14,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.009341723,-0.009500104
15,2,58,4,3,15,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.003345229,-0.003345229
16,2,62,4,,9,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.00329319,0.00329319
17,2,57,1,3,16,10.5,944348,8.8,60.2,39.8,0.346499332,4.32460733,3.488656195,0.006438075,0.006438075
18,2,54,1,,17,10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.004679094,0.004679094
19,2,60,5,3,17,10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.000905132,0.000905132
20,2,53,4,2,18,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,0.066933775,0.009879008
21,2,60,4,3,18,19.4,13262234,14.9,54.9,45.1,0.341349711,4.270359501,3.371696035,-0.000930279,-0.000930279
22,2,65,3,2,19,10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655,-0.004725989,-0.004725989
23,2,64,2,,20,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.010244839,0.010244839
24,2,57,4,,14,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.009781004,0.008406828
25,2,51,3,2,10,8,6069448,12.6,54.6,45.4,0.333240668,4.347376583,3.433144037,0.010665683,0.010933521
26,2,54,5,,21,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,-0.002414278,-0.002414278
27,2,58,3,,22,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.007294084,0.007352488
28,2,46,4,,22,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.019728676,0.004406392
29,2,89,1,3,22,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.00160808,0.00160808
30,1,44,3,2,22,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.00815147,0.004357791
31,2,51,3,,23,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.015370595,-0.006962643
32,2,56,1,,24,10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,-0.009240547,-0.009175028
33,1,63,4,,25,10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655,-0.000537971,-0.000537971
34,2,58,1,,26,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.001152472,-0.001152472
35,2,56,3,2,27,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.003648328,0.003648328
36,1,66,4,2,28,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006914407,0.00833251
37,2,60,3,2,29,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.004410685,0.004410685
38,2,54,4,,9,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.000649544,0.00038003
39,1,48,1,2,9,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006510018,0.007381403
40,2,58,3,,4,11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.007218787,0.007218787
41,2,58,3,1,30,7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,-0.0095237,-0.009563833
42,2,62,3,,31,7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,0.008807997,0.008807997
43,1,55,3,,31,7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,0.000122583,0.000122583
44,2,56,4,,21,8.3,2061766,14.8,55,45,0.358792435,4.327102804,3.38372093,0.008067861,0.008073656
45,2,68,3,2,25,10.9,307724,19.2,54.7,45.3,0.311370624,4.379310345,3.310344828,-0.004380975,-0.004380975
46,2,57,4,2,32,6.1,81893,13,60.2,39.8,0.274001416,4.510638298,3.563829787,-0.000494332,-0.000494332
47,2,69,5,,33,20.4,4518699,15.9,56.9,43.1,0.341729037,4.235990529,3.363636364,0.003701543,0.003701543
48,2,56,3,,34,16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.007701054,0.004886246
49,2,65,3,2,4,16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.00303049,-0.00303049
50,2,61,3,3,13,16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.003620879,0.003620879
51,2,52,4,,35,7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.010422442,-0.010422442
