Company,City,MSA,"EstimatePercent MaleCivilian employed population 16 years and overManagement, business, science, and arts occupations","EstimatePercent FemaleCivilian employed population 16 years and overManagement, business, science, and arts occupations","EstimatePercent MaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupations","EstimatePercent FemaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupations","EstimatePercent MaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupationsManagement occupations","EstimatePercent FemaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupationsManagement occupations","EstimatePercent MaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupationsBusiness and financial operations occupations","EstimatePercent FemaleCivilian employed population 16 years and overManagement, business, science, and arts occupationsManagement, business, and financial occupationsBusiness and financial operations occupations",EstimatePercent MaleCivilian employed population 16 years and overSales and office occupations,EstimatePercent FemaleCivilian employed population 16 years and overSales and office occupations,EstimatePercent MaleCivilian employed population 16 years and overSales and office occupationsSales and related occupations,EstimatePercent FemaleCivilian employed population 16 years and overSales and office occupationsSales and related occupations,EstimatePercent MaleCivilian employed population 16 years and overSales and office occupationsOffice and administrative support occupations,EstimatePercent FemaleCivilian employed population 16 years and overSales and office occupationsOffice and administrative support occupations
UPS,"Atlanta, Georgia","Atlanta-Sandy Springs-Alpharetta, GA MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ExxonMobile,"Atlanta, Georgia","Atlanta-Sandy Springs-Alpharetta, GA MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The home depot,"Atlanta, Georgia","Atlanta-Sandy Springs-Alpharetta, GA MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Coca-Cola,"Atlanta, Georgia","Atlanta-Sandy Springs-Alpharetta, GA MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Walmart,"Bentonville, Arkansas","Atlanta-Sandy Springs-Alpharetta, GA MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vertex,"Cambridge, Massachusetts","Boston-Cambridge-Quincy, MA-NH MSA",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Synchrony,"Stamford, Connecticut","Bridgeport-Stamford-Norwalk, CT Metro Area",50.1,49.9,60.2,39.8,64,36,54.3,45.7,42.9,57.1,56.1,43.9,27.6,72.4
Duke,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",47.7,52.3,55,45,61.3,38.7,45,55,38.4,61.6,50.5,49.5,25.7,74.3
Bank of America,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",47.7,52.3,55,45,61.3,38.7,45,55,38.4,61.6,50.5,49.5,25.7,74.3
Ventas,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",48.2,51.8,55.3,44.7,59.6,40.4,48.3,51.7,38.6,61.4,51.6,48.4,26.8,73.2
