number,Date,Holiday
0,12/31/2010,New Year's Day
1,1/17/2011,"Birthday of Martin Luther King, Jr."
2,2/21/2011,Washington's Birthday
3,5/30/2011,Memorial Day
4,7/4/2011,Independence Day
5,9/5/2011,Labor Day
6,10/10/2011,Columbus Day
7,11/11/2011,Veterans Day
8,11/24/2011,Thanksgiving Day
9,12/26/2011,Christmas Day
10,1/2/2012,New Year's Day
11,1/16/2012,"Birthday of Martin Luther King, Jr."
12,2/20/2012,Washington's Birthday
13,5/28/2012,Memorial Day
14,7/4/2012,Independence Day
15,9/3/2012,Labor Day
16,10/8/2012,Columbus Day
17,11/12/2012,Veterans Day
18,11/22/2012,Thanksgiving Day
19,12/25/2012,Christmas Day
20,1/1/2013,New Year's Day
21,1/21/2013,"Birthday of Martin Luther King, Jr."
22,2/18/2013,Washington's Birthday
23,5/27/2013,Memorial Day
24,7/4/2013,Independence Day
25,9/2/2013,Labor Day
26,10/14/2013,Columbus Day
27,11/11/2013,Veterans Day
28,11/28/2013,Thanksgiving Day
29,12/25/2013,Christmas Day
30,1/1/2014,New Year's Day
31,1/20/2014,"Birthday of Martin Luther King, Jr."
32,2/17/2014,Washington's Birthday
33,5/26/2014,Memorial Day
34,7/4/2014,Independence Day
35,9/1/2014,Labor Day
36,10/13/2014,Columbus Day
37,11/11/2014,Veterans Day
38,11/27/2014,Thanksgiving Day
39,12/25/2014,Christmas Day
40,1/1/2015,New Year's Day
41,1/19/2015,"Birthday of Martin Luther King, Jr."
42,2/16/2015,Washington's Birthday
43,5/25/2015,Memorial Day
44,7/3/2015,Independence Day
45,9/7/2015,Labor Day
46,10/12/2015,Columbus Day
47,11/11/2015,Veterans Day
48,11/26/2015,Thanksgiving Day
49,12/25/2015,Christmas Day
50,1/1/2016,New Year's Day
51,1/18/2016,"Birthday of Martin Luther King, Jr."
52,2/15/2016,Washington's Birthday
53,5/30/2016,Memorial Day
54,7/4/2016,Independence Day
55,9/5/2016,Labor Day
56,10/10/2016,Columbus Day
57,11/11/2016,Veterans Day
58,11/24/2016,Thanksgiving Day
59,12/26/2016,Christmas Day
60,1/2/2017,New Year's Day
61,1/16/2017,"Birthday of Martin Luther King, Jr."
62,2/20/2017,Washington's Birthday
63,5/29/2017,Memorial Day
64,7/4/2017,Independence Day
65,9/4/2017,Labor Day
66,10/9/2017,Columbus Day
67,11/10/2017,Veterans Day
68,11/23/2017,Thanksgiving Day
69,12/25/2017,Christmas Day
70,1/1/2018,New Year's Day
71,1/15/2018,"Birthday of Martin Luther King, Jr."
72,2/19/2018,Washington's Birthday
73,5/28/2018,Memorial Day
74,7/4/2018,Independence Day
75,9/3/2018,Labor Day
76,10/8/2018,Columbus Day
77,11/12/2018,Veterans Day
78,11/22/2018,Thanksgiving Day
79,12/25/2018,Christmas Day
80,1/1/2019,New Year's Day
81,1/21/2019,"Birthday of Martin Luther King, Jr."
82,2/18/2019,Washington's Birthday
83,5/27/2019,Memorial Day
84,7/4/2019,Independence Day
85,9/2/2019,Labor Day
86,10/14/2019,Columbus Day
87,11/11/2019,Veterans Day
88,11/28/2019,Thanksgiving Day
89,12/25/2019,Christmas Day
90,1/1/2020,New Year's Day
91,1/20/2020,"Birthday of Martin Luther King, Jr."
92,2/17/2020,Washington's Birthday
93,5/25/2020,Memorial Day
94,7/3/2020,Independence Day
95,9/7/2020,Labor Day
96,10/12/2020,Columbus Day
97,11/11/2020,Veterans Day
98,11/26/2020,Thanksgiving Day
99,12/25/2020,Christmas Day
100,1/1/2010,New Year’s Day
101,1/18/2010,"Martin Luther King, Jr. Day"
102,2/15/2010,Washington’s Birthday
103,5/31/2010,Memorial Day
104,7/5/2010,Independence Day
105,9/6/2010,Labor Day
106,10/11/2010,Columbus Day
107,11/11/2010,Veterans Day
108,11/25/2010,Thanksgiving Day
109,12/25/2010,Christmas Day
110,1/1/2009,New Year’s Day
111,1/19/2009,"Martin Luther King, Jr. Day"
112,2/16/2009,Washington’s Birthday
113,5/25/2009,Memorial Day
114,7/3/2009,Independence Day
115,9/7/2009,Labor Day
116,10/12/2009,Columbus Day
117,11/11/2009,Veterans Day
118,11/26/2009,Thanksgiving Day
119,12/25/2009,Christmas Day
120,1/1/2008,New Year’s Day
121,1/21/2008,"Martin Luther King, Jr. Day"
122,2/18/2008,Washington’s Birthday
123,5/26/2008,Memorial Day
124,7/4/2008,Independence Day
125,9/1/2008,Labor Day
126,10/13/2008,Columbus Day
127,11/11/2008,Veterans Day
128,11/27/2008,Thanksgiving Day
129,12/25/2008,Christmas Day
130,1/1/2007,New Year’s Day
131,1/15/2007,"Martin Luther King, Jr. Day"
132,2/19/2007,Washington’s Birthday
133,5/28/2007,Memorial Day
134,7/4/2007,Independence Day
135,9/3/2007,Labor Day
136,10/8/2007,Columbus Day
137,11/11/2007,Veterans Day
138,11/22/2007,Thanksgiving Day
139,12/25/2007,Christmas Day
140,1/1/2006,New Year’s Day
141,1/16/2006,"Martin Luther King, Jr. Day"
142,2/20/2006,Washington’s Birthday
143,5/29/2006,Memorial Day
144,7/4/2006,Independence Day
145,9/4/2006,Labor Day
146,10/9/2006,Columbus Day
147,11/11/2006,Veterans Day
148,11/23/2006,Thanksgiving Day
149,12/25/2006,Christmas Day
150,1/1/2005,New Year’s Day
151,1/17/2005,"Martin Luther King, Jr. Day"
152,2/21/2005,Washington’s Birthday
153,5/30/2005,Memorial Day
154,7/4/2005,Independence Day
155,9/5/2005,Labor Day
156,10/10/2005,Columbus Day
157,11/11/2005,Veterans Day
158,11/24/2005,Thanksgiving Day
159,12/25/2005,Christmas Day
160,1/1/2004,New Year’s Day
161,1/19/2004,"Martin Luther King, Jr. Day"
162,2/16/2004,Washington’s Birthday
163,5/31/2004,Memorial Day
164,7/4/2004,Independence Day
165,9/6/2004,Labor Day
166,10/11/2004,Columbus Day
167,11/11/2004,Veterans Day
168,11/25/2004,Thanksgiving Day
169,12/25/2004,Christmas Day
170,1/1/2003,New Year’s Day
171,1/20/2003,"Martin Luther King, Jr. Day"
172,2/17/2003,Washington’s Birthday
173,5/26/2003,Memorial Day
174,7/4/2003,Independence Day
175,9/1/2003,Labor Day
176,10/13/2003,Columbus Day
177,11/11/2003,Veterans Day
178,11/27/2003,Thanksgiving Day
179,12/25/2003,Christmas Day
180,1/1/2002,New Year’s Day
181,1/21/2002,"Martin Luther King, Jr. Day"
182,2/18/2002,Washington’s Birthday
183,5/27/2002,Memorial Day
184,7/4/2002,Independence Day
185,9/2/2002,Labor Day
186,10/14/2002,Columbus Day
187,11/11/2002,Veterans Day
188,11/28/2002,Thanksgiving Day
189,12/25/2002,Christmas Day
190,1/1/2001,New Year’s Day
191,1/15/2001,"Martin Luther King, Jr. Day"
192,2/19/2001,Washington’s Birthday
193,5/28/2001,Memorial Day
194,7/4/2001,Independence Day
195,9/3/2001,Labor Day
196,10/8/2001,Columbus Day
197,11/11/2001,Veterans Day
198,11/22/2001,Thanksgiving Day
199,12/25/2001,Christmas Day
200,1/1/2000,New Year’s Day
201,1/17/2000,"Martin Luther King, Jr. Day"
202,2/21/2000,Washington’s Birthday
203,5/29/2000,Memorial Day
204,7/4/2000,Independence Day
205,9/4/2000,Labor Day
206,10/9/2000,Columbus Day
207,11/11/2000,Veterans Day
208,11/23/2000,Thanksgiving Day
209,12/25/2000,Christmas Day
210,1/1/1999,New Year’s Day
211,1/18/1999,"Martin Luther King, Jr. Day"
212,2/15/1999,Washington’s Birthday
213,5/31/1999,Memorial Day
214,7/4/1999,Independence Day
215,9/6/1999,Labor Day
216,10/11/1999,Columbus Day
217,11/11/1999,Veterans Day
218,11/25/1999,Thanksgiving Day
219,12/25/1999,Christmas Day
220,1/1/1998,New Year’s Day
221,1/19/1998,"Martin Luther King, Jr. Day"
222,2/16/1998,Washington’s Birthday
223,5/25/1998,Memorial Day
224,7/4/1998,Independence Day
225,9/7/1998,Labor Day
226,10/12/1998,Columbus Day
227,11/11/1998,Veterans Day
228,11/26/1998,Thanksgiving Day
229,12/25/1998,Christmas Day
230,1/1/1997,New Year’s Day
231,1/20/1997,"Martin Luther King, Jr. Day"
232,2/17/1997,Washington’s Birthday
233,5/26/1997,Memorial Day
