SubjectID,STEMGradeAll,STEMAV2,NONSTEMAV2,MathScore_ALLProblems,evap2,WrongFeedback_Episodic_SubnetworkModularity_Gamma
11111,95,430.03,412.41,2,3,0.32
11112,95.5,385.16,393.74,2.12,2,0.26
11113,99,406.27,402.56,2.28,5,0.3
11114,89,500.58,532.06,1.89,4,0.21
11115,97,503,530.56,1.93,1,0.23
11116,70,788.48,835.81,2,7,0.25
11117,95,425.33,420.97,2,1,0.08
11118,65,441.75,456.13,0.97,6,0.19
11119,95,528.19,502.5,1.75,4,0.17
11120,98,521.77,526.16,1.85,5,0.33
11121,91,506.75,453.69,1.85,3,0.16
11122,84.5,572.28,661.16,0.84,5,0.21
11123,93.5,407.19,427.17,1.58,6,0.18
11124,86,393.88,411.56,1.55,7,0.21
11125,89.5,433.72,437.07,1.95,4,0.23
11126,98,404.69,425.42,1.12,7,0.16
11127,95,402.71,410.35,2,5,0.09
11128,88.5,460.71,476.16,1.16,3,0.28
11129,77,339.52,327.7,0.81,4,0.16
11130,93.5,468.56,488.06,1.44,3,0.16
11131,94,627.19,674.77,0.93,1,0.16
11132,92,627.19,674.77,0.93,1,0.33
11133,96,627.19,674.77,0.93,2,0.33
11134,88,385.2,381.97,1.57,4,0.33
11135,88,417.54,425.81,1.58,1,0.15
11136,77,508.09,503,1.63,2,0.04
11137,89,590.06,590.84,1.36,1,0.15
22221,91,633.58,541.19,1.86,1,0.31
22222,94,466.45,455.97,1.96,3,32
22223,93.5,561.37,564.14,1.47,1,0.18
22224,85,766.77,857.37,1.76,4,0.14
22225,88,533.84,541.94,1.56,1,0.17
22226,89,522.45,511.91,1.26,2,0.31
33333,96,469.92,433.03,0.78,3,0.22
33334,85,469.92,433.03,0.78,3,0.22
33335,90,406.17,437.77,0.97,1,0.21
33336,85,406.17,437.77,0.97,1,0.21
33337,89,406.17,437.77,0.97,1,0.21
33338,77,406.17,5,5,5,0.21
33339,89,500,508.09,0.97,1,0.21
33340,88.5,406.17,590.06,1.55,1,0.21
33341,90,406.17,633.58,1.95,7,0.21
33344,87,503,466.45,1.12,4,0.21
33345,98,503,561.37,2,7,0.21
33347,91,503,766.77,1.16,5,0.21
33348,87,503,533.84,0.81,3,0.21
33349,90,406.17,508.09,1.44,4,0.21
33350,87,667,590.06,0.93,3,0.21
33351,86,668,633.58,0.93,1,0.21
33352,91,700,466.45,0.93,1,0.21
33353,91.5,406.17,561.37,1.57,2,0.21
33354,77,406.17,766.77,1.58,4,0.21
33360,75,406.17,533.84,0.97,1,0.21
55554,96.5,491.1,490.34,1.07,2,0.39
55556,95,445.13,432.33,1.14,1,0.39
55557,89,486.26,466,0.77,1,0.39
55558,96.5,486.26,466,0.77,7,0.39
55559,90,520.13,485.28,1.48,7,0.39
55560,96,502.48,457.53,1.63,5,0.2
55561,90,391.94,421.81,1.3,7,0.18
55562,76,391.94,421.81,1.3,3,0.14
55563,84,528.23,542.88,1.22,1,0.25
55564,96.5,577.61,433.42,1.53,8,0.25
55565,87,577.61,433.42,1.53,1,0.25
55566,87,385.42,388.66,1.83,7,0.25
55577,81,502.84,488.1,1.75,3,0.25
55578,84.5,476.27,491.71,1.65,1,0.21
55579,85,605.74,667.16,0.96,2,0.34
55580,93.5,345.87,334,1.88,1,0.44
55581,97,810,743.6,1.88,7,0.56
55582,95,398.78,414.19,2.1,5,0.21
55583,87.5,575.9,510.8,1.05,3,0.3
55584,74,509.83,505,1.43,6,0.25
55585,83.5,509.83,505,1.43,6,0.25
55586,85,469.06,518.33,1.83,3,0.45
55587,93,426.77,439.39,1.55,1,0.3
55588,95,442.9,444.84,2.28,2,0.23
55589,92,510.84,488.84,1.07,2,0.24
55590,89,443.97,438.44,1.87,1,0.2
55591,89.5,451.16,434.25,1.53,3,0.45
55592,95,451.16,434.25,1.53,3,0.45
55593,94.5,614.13,657.13,0.93,3,0.21
55594,95,468.53,451.39,0.93,1,0.21
55595,91,451.16,434.25,0.93,1,0.21
55596,92,614.13,657.13,1.57,2,0.21
55597,82,468.53,451.39,1.58,4,0.21
55598,86,451.16,434.25,0.97,1,0.21
99999,87.5,614.13,657.13,1.07,2,0.39
101010,89,468.53,451.39,1.14,1,0.39
111352,91,468.53,451.39,0.77,1,0.39
111372,75,468.53,451.39,0.77,7,0.39
555613,91,526.23,485.94,1.48,7,0.39
