SubjectID,STEMGradeAll,STEMAV2,NONSTEMAV2,MathScore_ALLProblems,evap2,WrongFeedback_Episodic_SubnetworkModularity_Gamma
11111.00,95.00,430.03,412.41,,3,0.32
11112.00,95.50,385.16,393.74,2.12,2,0.26
11113.00,99.00,406.27,402.56,2.28,5,0.30
11114.00,89.00,500.58,532.06,1.89,4,0.21
11115.00,97.00,503.00,530.56,1.93,1,0.23
11116.00,,788.48,835.81,2.00,7,0.25
11117.00,95.00,425.33,420.97,2.00,1,0.08
11118.00,,441.75,456.13,0.97,6,0.19
11119.00,95.00,528.19,502.50,1.75,4,0.17
11120.00,98.00,521.77,526.16,1.85,5,0.33
11121.00,91.00,506.75,453.69,1.85,3,0.16
11122.00,84.50,572.28,661.16,0.84,5,0.21
11123.00,93.50,407.19,427.17,1.58,6,0.18
11124.00,86.00,393.88,411.56,1.55,7,0.21
11125.00,89.50,433.72,437.07,1.95,4,0.23
11126.00,98.00,404.69,425.42,1.12,7,0.16
11127.00,95.00,402.71,410.35,,5,0.09
11128.00,88.50,460.71,476.16,1.16,3,0.28
11129.00,,339.52,327.70,0.81,4,0.16
11130.00,93.50,468.56,488.06,1.44,3,0.16
11131.00,94.00,627.19,674.77,0.93,1,0.16
11132.00,92.00,,,,,
11133.00,96.00,,,,2,
11134.00,,385.20,381.97,1.57,4,0.33
11135.00,88.00,417.54,425.81,1.58,1,0.15
11136.00,,508.09,503.00,1.63,2,0.04
11137.00,89.00,590.06,590.84,1.36,1,0.15
22221.00,91.00,633.58,541.19,1.86,1,0.31
22222.00,94.00,466.45,455.97,1.96,3,
22223.00,93.50,561.37,564.14,1.47,1,0.18
22224.00,85.00,766.77,857.37,1.76,4,0.14
22225.00,88.00,533.84,541.94,1.56,1,0.17
22226.00,89.00,522.45,511.91,1.26,2,0.31
33333.00,96.00,469.92,433.03,0.78,99,0.22
33334.00,85.00,,,,,
33335.00,90.00,406.17,437.77,0.97,1,0.21
33336.00,85.00,,,,,
33337.00,89.00,,,,,
33338.00,93.00,,,,,
33339.00,89.00,,,,,
33340.00,88.50,,,,,
33341.00,90.00,,,,,
33344.00,87.00,,,,,
33345.00,98.00,,,,,
33347.00,91.00,,,,,
33348.00,87.00,,,,,
33349.00,90.00,,,,,
33350.00,87.00,,,,,
33351.00,86.00,,,,,
33352.00,91.00,,,,,
33353.00,91.50,,,,,
33354.00,77.00,,,,,
33360.00,75.00,,,,,
55554.00,96.50,491.10,490.34,1.07,5,0.39
55556.00,95.00,445.13,432.33,1.14,99,
55557.00,89.00,486.26,466.00,0.77,5,
55558.00,96.50,,,,99,
55559.00,90.00,520.13,485.28,1.48,7,0.41
55560.00,96.00,502.48,457.53,1.63,5,0.20
55561.00,90.00,,,,7,0.18
55562.00,76.00,391.94,421.81,1.30,3,0.14
55563.00,84.00,528.23,542.88,1.22,1,
55564.00,96.50,,,,,
55565.00,87.00,577.61,433.42,1.53,1,
55566.00,87.00,385.42,388.66,1.83,7,
55577.00,81.00,502.84,488.10,1.75,3,0.25
55578.00,84.50,476.27,491.71,1.65,1,0.21
55579.00,85.00,605.74,667.16,0.96,2,0.34
55580.00,93.50,345.87,334.00,,1,
55581.00,97.00,810.00,743.60,1.88,7,
55582.00,95.00,398.78,414.19,2.10,5,0.21
55583.00,87.50,575.90,510.80,1.05,3,0.30
55584.00,74.00,509.83,505.00,1.43,6,0.25
55585.00,83.50,,,,,
55586.00,85.00,469.06,518.33,1.83,3,0.45
55587.00,93.00,426.77,439.39,1.55,1,0.30
55588.00,95.00,442.90,444.84,2.28,2,0.23
55589.00,92.00,510.84,488.84,1.07,2,0.24
55590.00,89.00,443.97,438.44,1.87,1,0.20
55591.00,89.50,451.16,434.25,1.53,3,0.45
55592.00,95.00,,,,,
55593.00,94.50,,,,,
55594.00,95.00,,,,,
55595.00,91.00,,,,,
55596.00,92.00,,,,,
55597.00,82.00,,,,,
55598.00,86.00,,,,,
99999.00,87.50,614.13,657.13,,,
101010.00,89.00,468.53,451.39,,1,0.24
111352.00,91.00,,,,1,
111372.00,75.00,,,,1,0.17
555613.00,91.00,526.23,485.94,1.00,4,
