ID,Post_Hoc_Self_Esteem,POWER_FEEDBACK_PCC_BETA,POWER_FEEDBACK_MPFC_BETA,STSbeta_power,TPJbeta_power,ACCbeta_power,LSTSbeta_power,RSTSbeta_power,TSE,Mem
7801,3.3,,,447.5821696,192.0730711,,447.5821696,1958.515265,2.9,1.376880271
7842,3.3,213.5702524,,640.1143652,136.8946598,,640.1143652,1204.835407,3.1,1.381985286
7870,3.3,342.4049795,403.8684786,564.3692003,71.55744673,150.8101601,564.3692003,440.8593607,3.6,2.591206984
7881,3,414.1745682,687.8085664,1144.532123,132.2542592,147.725436,1144.532123,1378.201626,3,1.168712191
7890,3.8,247.65,503.9678664,383.4734015,346.3780786,,383.4734015,261.4640161,3.8,2.760051473
7897,3.3,247.434169,100.5232741,522.4578997,132.2156006,94.85762857,522.4578997,605.5215515,2.9,1.146215729
7907,4,231.2044042,96.61047024,179.4687351,153.2721298,71.36430685,179.4687351,749.5656917,2.4,2.261076157
7912,,110.9705057,237.0601188,181.7956887,60.60110268,168.6561807,181.7956887,253.6626068,3.4,1.124833209
7942,3.2,144.2012804,99.13927411,128.8796937,61.7424119,69.80824494,128.8796938,154.2139381,3.2,1.247218434
7968,,158.2985125,88.68413095,141.8836857,67.72534435,243.997478,141.8836857,185.3840744,3.8,0.896692509
8061,,126.807103,45.55160982,144.8465536,62.91987738,217.377817,144.8465536,435.9248095,,
8113,3.5,159.3157301,134.8475842,123.876981,137.7967435,110.5466881,123.876981,215.9628336,3.2,1.028204462
8121,3.6,182.3511845,143.3440423,824.9389929,108.6844354,133.1661914,824.9389929,567.7289351,3.2,1.139195753
8133,2.9,167.3172292,259.1237866,371.9331878,125.151819,165.1260533,371.9331878,1129.614075,,1.445205283
8149,3.4,190.7719036,272.2793116,431.4132732,209.6517875,148.2447089,431.4132732,1403.335424,2.8,1.95331519
8156,3.4,201.9405042,130.6929985,573.2253845,346.5933708,261.6294435,573.2253845,1006.935392,3,1.275420513
8159,,162.3231717,260.5288482,783.1151911,50.27536012,267.8154411,783.1151911,386.4691327,3.7,2.470138682
8166,3.8,190.5236488,278.2617378,761.570536,87.13394911,172.4015673,761.570536,955.8231878,3.6,1.130472924
8194,3.3,51.92923155,136.4622482,150.6444958,39.11637798,62.76949762,150.6444958,402.9620304,3.4,1.149917884
8216,3.8,212.5679158,94.20677708,1511.898527,104.3907479,79.07947113,1511.898527,455.0495199,3.6,2.167586586
8243,3.7,275.1944485,341.3341708,,107.4560268,201.1479286,,,3.5,1.872354178
8253,2.9,319.022553,,483.3235098,203.0793685,,483.3235098,2372.559163,3.6,2.860170158
8273,,216.7033899,162.1695068,273.2964164,70.58679286,512.7335539,273.2964164,697.3103408,2.6,0.870890382
8297,3.6,286.182467,81.0031756,402.7979604,99.84003304,136.8407964,402.7979604,1542.452665,2.6,2.25564239
8306,3.3,329.5311979,64.72947411,166.323894,114.6729679,92.57234554,166.323894,577.2530563,3.9,1.987913068
8324,4,174.8126655,83.97227679,592.4752851,149.9879199,80.20156488,592.4752851,1670.66835,3.6,1.220845876
8333,2.9,429.162311,699.9548301,328.2337598,252.5970902,444.7053446,328.2337598,2417.967909,2.7,1.668947633
8371,3.8,220.4438801,188.7216039,277.1781506,126.7393342,155.1435884,277.1781506,903.238681,4,0.688977095
8395,3.7,325.4788693,177.3191943,133.8166902,106.1501324,235.2267521,133.8166902,266.4942458,3.6,1.723664746
8426,3.7,249.4542298,138.5136652,825.4556842,87.44003452,157.9822161,825.4556842,356.8746464,3.5,1.479503732
8454,3.2,116.1964277,95.45138214,605.8599229,55.26982589,66.81520446,605.8599229,621.4051304,3.1,0.665810233
8460,3,290.7503012,172.1300244,340.532356,127.8745854,240.5171503,340.532356,624.7668277,2.9,2.229263345
8480,,115.1910512,159.049,238.0873298,90.90918244,191.3970265,238.0873298,569.2588783,2.9,2.794046673
8482,3.9,201.3235012,117.7631634,888.8643705,107.1335378,139.4771851,888.8643705,928.5679792,4,2.46621204
8496,4,170.0282664,132.0208137,,,135.5047226,367.2198074,606.0907057,,1.365365605
8536,2.9,156.7886414,460.1716062,322.6098893,77.32188155,313.9992682,322.6098893,399.9728833,2.7,1.733304732
8539,3.1,229.7766274,415.2814512,893.1764289,254.0988821,390.6251036,893.1764289,1124.612047,3.5,2.073000771
8545,4,182.937239,127.9798908,175.601911,100.4564744,73.48309375,175.601911,414.3185363,2.8,1.8
8551,3.2,315.2610854,,,76.63878393,241.1522726,,720.4554693,3,1.556040776
8583,,145.0733253,140.5925378,962.7827646,73.9646875,152.8997988,962.7827646,401.1145336,2.6,1.520232506
8632,3.2,114.8674536,303.4721339,586.5614286,56.4909128,141.1006911,586.5614286,574.9086821,,1.329801698
8656,3.3,153.8711848,102.2463521,530.2931899,163.7647902,103.4227961,530.2931899,1195.836771,3,0.777747616
8664,4,225.5590107,34.83662798,149.515539,99.19261994,82.97627232,149.515539,252.7819068,3.7,1.470907403
8811,,208.2160744,764.8174461,474.3083911,80.2332747,173.8184045,474.3083911,877.7337208,2.7,0.969388975
8963,3.4,190.3754554,137.5923943,135.6881613,98.08418244,118.1866488,135.6881613,378.5088783,3,1.484966639
